ID,WatershedID,Area_m2
1,1,563923215
2,2,276788331.7
3,3,213874753.5
4,4,576988813.2
5,5,413474874.9
6,6,425064064.1
7,7,264364872.3
8,8,458670084.3
9,9,599820919.7
10,10,487725608.2
11,11,200321888.9
12,12,200335768.9
13,13,406644382.6
14,14,170986570.2
15,15,256702302.6
16,16,261366761.1
17,17,413877398.9
18,18,301302857.4
19,19,224986904.2
20,20,339050273.9
21,21,322397023.2
22,22,295641950.3
23,23,284248543.8
24,24,446938440.3
25,25,186671863
26,26,388132654
27,27,213882058.8
28,28,214350331
29,29,612770363.2
30,30,212185758.9
31,31,261929272.7
32,32,382831899.9
33,33,172826784.8
34,34,504848592
35,35,397509786.7
36,36,501680266.7
37,37,365880592
38,38,231861958.7
39,39,433933476
40,40,627285341.4
41,41,191145652.7
42,42,397487140.5
43,43,625386683.6
44,44,321722740.5
45,45,275805033.3
46,46,338592228.9
47,47,340821087.8
48,48,308501538.7
49,49,505590083.7
50,50,387323222.8
51,51,688015353.3
52,52,164356974.9
53,53,457089208.8
54,54,578644203.2
55,55,339276008.8
56,56,164554219
57,57,271920053.9
58,58,519672585.6
59,59,211426734.4
60,60,401068948.1
61,61,233150620.5
62,62,660445735
63,63,425751496.8
64,64,391424439.6
65,65,230940025.1
66,66,600996348.6
67,67,626772506.4
68,68,365809730
69,69,690901693.3
70,70,359605306
71,71,388013576.9
72,72,676878364.2
73,73,373953722.3
74,74,301104882.5
75,75,457559672.6
76,76,575454692
77,77,298377069
78,78,227070387.1
79,79,625311438.4
80,80,584093985.9
81,81,365583995.1
82,82,371445068.7
83,83,333870788.5
84,84,253119764.1
85,85,553796554.1
86,86,482467956.1
87,87,453010637.9
88,88,339219757.6
89,89,215590778
90,90,191911251.8
91,91,252595971.6
92,92,326509929.2
93,93,374686447.2
94,94,389218227.2
95,95,680504734.2
96,96,389189006.1
97,97,202865607.7
98,98,483376740.2
99,99,251184580
100,100,461901965.8
101,101,337844892.8
102,102,485809417.9
103,103,251377440.9
104,104,363118443.1
105,105,560847667.6
106,106,441925516.8
107,107,488014168.7
108,108,180586515.8
109,109,183499885
110,110,440677764.9
111,111,672746464.4
112,112,260293606.9
113,113,171033324.2
114,114,485383516.7
115,115,561354657.7
116,116,488738858.8
117,117,558352894.2
118,118,236465052.7
119,119,630203824.1
120,120,231560978.7
121,121,638518760.6
122,122,444154375.7
123,123,389662392
124,124,236900450.9
125,125,538459725.8
126,126,330302861.1
127,127,602380710.3
128,128,463213274.1
129,129,649828886.1
130,130,298706540.2
131,131,421291587.1
132,132,555884420
133,133,299597791.3
134,134,226830771.7
135,135,305561869.7
136,136,263959426.1
137,137,191911982.5
138,138,481995300.4
139,139,451670108.3
140,140,367700351.6
141,141,279250230.9
142,142,456669882.4
143,143,442040941.3
144,144,385539989.1
145,145,594850367.2
146,146,279637413.8
147,147,449323633.2
148,148,431372224.4
149,149,668390291.1
150,150,184104766.8
151,151,250732379.5
152,152,453890931.3
153,153,679209497.6
154,154,678755106.4
155,155,334018356.5
156,156,689660515.5
157,157,626239947
158,158,436135305.5
159,159,369374004.8
160,160,306986410.8
161,161,503552625.4
162,162,692959606.6
163,163,452190978.8
164,164,511041328.2
165,165,465748957.1
166,166,506327923.2
167,167,489582625.5
168,168,337448943.6
169,169,271418177.1
170,170,323899000.9
171,171,536761234.3
172,172,207805477.8
173,173,253212542.2
174,174,503090927.5
175,175,417135580.2
176,176,310395812.7
177,177,439096159.3
178,178,172467362.1
179,179,276851157.6
180,180,386466306.1
181,181,452372151.5
182,182,409110665
183,183,251571032.6
184,184,416838252.6
185,185,363594020.9
186,186,533749973.5
187,187,429286549.9
188,188,447714267.5
189,189,318684450.3
190,190,501204689
191,191,229008493.4
192,192,404083861.3
193,193,681032180.1
194,194,517047047
195,195,324909329.5
196,196,291250711
197,197,392412851.9
198,198,300603736.6
199,199,250719229.5
200,200,476579852.7
201,201,217397387.8
202,202,245295015.8
203,203,560011936.7
204,204,222758045.3
205,205,538667928
206,206,478127123.4
207,207,349382214.4
208,208,376188424.9
209,209,173389295.8
210,210,207317481.3
211,211,418092579.4
212,212,240029327.7
213,213,435067995.4
214,214,301606028.9
215,215,341252833.3
216,216,479455234.2
217,217,483923179.6
218,218,345205752.4
219,219,411052424.1
220,220,456013132.5
221,221,373795926.5
222,222,475616278.6
223,223,604234074.4
224,224,414824901.5
225,225,162242809.9
226,226,395686374.4
227,227,556771288.1
228,228,289983964.9
229,229,458407822.1
230,230,700035558.1
231,231,267612095.4
232,232,680774301.9
233,233,493339761.1
234,234,351923011.4
235,235,637314840.7
236,236,705407904.7
237,237,298507834.5
238,238,393778219.8
239,239,334163002.2
240,240,619261156.8
241,241,284557559.5
242,242,605378821.3
243,243,299538618
244,244,252168609.2
245,245,464547959.7
246,246,215429329.4
247,247,240404822.1
248,248,260807902.7
249,249,232330231
250,250,508691200.1
251,251,424419732.8
252,252,224254909.6
253,253,291992202.9
254,254,473217205.3
255,255,301518364.8
256,256,393282187.5
257,257,512855974.3
258,258,614946954
259,259,623667242.3
260,260,558925877.7
261,261,494634458.1
262,262,503764216.1
263,263,402741029
264,264,405044412.8
265,265,611918762
266,266,447999175.9
